pl_srcoldmsncev_x,pl_inqcnt2y_x,acctno,lexid,pl_srcoldmsncev_y,pl_inqcnt2y_y,o_lexid,company_id,date_added,flag,pl_srcoldmsncev_diff,pl_inqcnt2y_diff
50.0,25.0,436185801R398690,236826376871.0,48.0,0.0,236826376871,108706,2023-10-20 17:59:43,0,2.0,25.0
355.0,3.0,436182141R572391,258007536.0,353.0,0.0,258007536,108706,2023-10-03 20:40:47,0,2.0,3.0
250.0,15.0,436182201R566823,12326573289.0,248.0,0.0,12326573289,108706,2023-10-03 19:01:04,0,2.0,15.0
404.0,4.0,436185801R510269,177462560.0,402.0,0.0,177462560,108706,2023-10-23 14:19:30,0,2.0,4.0
301.0,23.0,436185821R193442,1533377188.0,299.0,0.0,1533377188,108706,2023-10-16 22:05:53,0,2.0,23.0
233.0,15.0,436185821R291999,42610697954.0,231.0,13.0,42610697954,107571,2023-10-18 19:24:43,0,2.0,2.0
379.0,9.0,436185821R351212,1927879099.0,377.0,0.0,1927879099,108706,2023-10-19 20:26:45,0,2.0,9.0
236.0,13.0,436185821R451132,33643036111.0,234.0,0.0,33643036111,108706,2023-10-21 19:16:41,0,2.0,13.0
316.0,12.0,436182201R574457,1981843020.0,314.0,0.0,1981843020,108706,2023-10-03 20:57:32,0,2.0,12.0
170.0,10.0,436185821R475909,140027364371.0,168.0,0.0,140027364371,108706,2023-10-22 16:50:40,0,2.0,10.0
488.0,7.0,436186101R143499,1369130675.0,486.0,0.0,1369130675,108706,2023-10-26 20:58:26,0,2.0,7.0
318.0,10.0,436186131R211690,403212078.0,317.0,0.0,403212078,108706,2023-10-28 04:08:26,0,1.0,10.0
311.0,4.0,436182201R587139,62530603985.0,309.0,0.0,62530603985,108706,2023-10-04 01:15:45,0,2.0,4.0
120.0,9.0,436186131R43186,236558619464.0,118.0,0.0,236558619464,108706,2023-10-24 19:42:00,0,2.0,9.0
382.0,15.0,436186131R91079,218836142.0,380.0,0.0,218836142,108706,2023-10-25 17:18:13,0,2.0,15.0
397.0,9.0,436186141R318047,1111050128.0,396.0,0.0,1111050128,108706,2023-10-30 19:33:14,0,1.0,9.0
358.0,12.0,436186191R74983,978347123.0,356.0,0.0,978347123,108706,2023-10-25 12:47:06,0,2.0,12.0
146.0,10.0,436182201R704519,185820682414.0,144.0,0.0,185820682414,108706,2023-10-06 11:57:33,0,2.0,10.0
404.0,16.0,436186451R169130,857219367.0,403.0,0.0,857219367,108706,2023-10-27 14:13:00,0,1.0,16.0
314.0,6.0,436186451R352688,1806142014.0,313.0,0.0,1806142014,108706,2023-10-31 14:24:01,0,1.0,6.0
246.0,6.0,436186491R237004,32345408228.0,245.0,0.0,32345408228,108706,2023-10-28 19:37:37,0,1.0,6.0
14.0,11.0,436186491R39811,238014165755.0,12.0,0.0,238014165755,108706,2023-10-24 19:11:50,0,2.0,11.0
436.0,9.0,436186501R29905,2289745854.0,434.0,0.0,2289745854,108706,2023-10-24 16:58:45,0,2.0,9.0
211.0,10.0,436186511R81566,102093711502.0,209.0,0.0,102093711502,108706,2023-10-25 15:32:10,0,2.0,10.0
350.0,16.0,436186521R212812,110122438.0,349.0,0.0,110122438,108706,2023-10-28 06:08:41,0,1.0,16.0
179.0,12.0,31617,155724728607.0,175.0,10.0,155724728607,107891,2023-09-02 02:24:53,0,4.0,2.0
331.0,10.0,31686,454951047.0,328.0,8.0,454951047,107891,2023-08-31 17:49:34,0,3.0,2.0
269.0,9.0,31695,2542158994.0,265.0,7.0,2542158994,107891,2023-09-14 00:26:48,0,4.0,2.0
335.0,5.0,31718,2224648469.0,334.0,0.0,2224648469,107891,2023-11-07 15:29:26,0,1.0,5.0
130.0,12.0,31724,179214142381.0,128.0,10.0,179214142381,107891,2023-09-24 18:02:40,0,2.0,2.0
355.0,3.0,31737,2129871084.0,353.0,1.0,2129871084,107891,2023-10-07 21:24:46,0,2.0,2.0
323.0,14.0,31742,2685772682.0,321.0,0.0,2685772682,107891,2023-09-30 16:15:36,0,2.0,14.0
370.0,22.0,31748,187993475.0,368.0,0.0,187993475,107891,2023-09-24 22:59:09,0,2.0,22.0
454.0,28.0,31751,2044205625.0,451.0,26.0,2044205625,107891,2023-08-28 14:13:25,0,3.0,2.0
121.0,65.0,31759,191427696351.0,117.0,62.0,191427696351,107891,2023-09-11 23:27:01,0,4.0,3.0
112.0,7.0,31761,191323563862.0,108.0,5.0,191323563862,107891,2023-09-06 15:33:58,0,4.0,2.0
169.0,17.0,31781,165629943033.0,165.0,14.0,165629943033,107891,2023-09-04 06:27:20,0,4.0,3.0
108.0,12.0,31789,187569139494.0,104.0,10.0,187569139494,107891,2023-09-07 00:11:46,0,4.0,2.0
135.0,9.0,31798,189905105640.0,133.0,6.0,189905105640,107891,2023-10-13 14:17:03,0,2.0,3.0
7.0,8.0,31823,240489544480.0,4.0,4.0,240489544480,107891,2023-08-26 20:42:27,0,3.0,4.0
317.0,8.0,31845,1677744592.0,313.0,6.0,1677744592,107891,2023-09-06 21:13:47,0,4.0,2.0
454.0,16.0,31865,1073082128.0,452.0,13.0,1073082128,107891,2023-09-21 16:33:22,0,2.0,3.0
159.0,11.0,31878,168439976560.0,155.0,9.0,168439976560,107891,2023-09-01 06:10:43,0,4.0,2.0
372.0,31.0,31897,2336746906.0,370.0,28.0,2336746906,107891,2023-10-03 21:16:04,0,2.0,3.0
227.0,5.0,31942,56191253112.0,225.0,3.0,56191253112,107891,2023-09-30 15:41:55,0,2.0,2.0
166.0,9.0,31994,161510344231.0,162.0,7.0,161510344231,107891,2023-09-05 21:40:19,0,4.0,2.0
264.0,37.0,31995,3633996463.0,261.0,35.0,3633996463,107891,2023-08-26 02:15:39,0,3.0,2.0
407.0,18.0,31997,1274307519.0,405.0,16.0,1274307519,107891,2023-10-09 16:32:16,0,2.0,2.0
246.0,10.0,32002,32569363330.0,244.0,8.0,32569363330,107891,2023-09-28 10:43:45,0,2.0,2.0
229.0,12.0,32006,53479776976.0,227.0,10.0,53479776976,107891,2023-10-10 15:05:45,0,2.0,2.0
